ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,member_casual
823CB45041D9CFE1,electric_bike,9/1/2021 14:46,9/1/2021 14:52,Canal St & Monroe St,Kingsbury St & Kinzie St,41.881549,-87.63941033,41.88911467,-87.63865517,member
823D61E01D605E0A,electric_bike,9/1/2021 14:12,9/1/2021 14:30,Orleans St & Merchandise Mart Plaza,,41.88799767,-87.63699667,41.93,-87.67,casual
823E56ADEBF5D54E,electric_bike,9/1/2021 21:28,9/1/2021 21:28,,State St & Pearson St,41.9,-87.63,41.89744117,-87.62903633,member
823E6EB13E591F00,classic_bike,9/4/2021 10:14,9/4/2021 10:28,Rush St & Cedar St,Clark St & Wrightwood Ave,41.9023087,-87.62769053,41.929546,-87.643118,member
824063B03AA48541,electric_bike,9/1/2021 19:53,9/1/2021 20:09,,,41.96,-87.65,41.94,-87.64,casual
82425372AE7C6422,classic_bike,9/4/2021 9:12,9/4/2021 9:30,Ogden Ave & Congress Pkwy,State St & Harrison St,41.87501,-87.67328,41.874053,-87.627716,casual
8244A130B003FC9B,electric_bike,9/4/2021 11:49,9/4/2021 12:28,,,41.9,-87.72,41.92,-87.71,member
8245C08D875F725D,classic_bike,9/1/2021 16:50,9/1/2021 16:58,Halsted St & Roosevelt Rd,Loomis St & Lexington St,41.867324,-87.648625,41.872187,-87.661501,member
8247CFD3E2AC3BC5,electric_bike,9/1/2021 10:00,9/1/2021 10:15,Halsted St & Polk St,Indiana Ave & 26th St,41.87185,-87.64662033,41.84568133,-87.622767,member
8247F7AA0FC207F3,classic_bike,9/1/2021 20:16,9/1/2021 20:53,Rush St & Hubbard St,Wabash Ave & Grand Ave,41.890173,-87.626185,41.891466,-87.626761,casual
8248D69D1BE087A2,classic_bike,9/4/2021 17:55,9/4/2021 19:23,Museum of Science and Industry,Fort Dearborn Dr & 31st St,41.79172821,-87.58394501,41.838556,-87.608218,casual
824A6620A4390831,electric_bike,9/4/2021 17:25,9/4/2021 17:50,,Kedzie Ave & Roosevelt Rd,41.88,-87.69,41.86660233,-87.70631,casual
824A7CF9F61D1612,classic_bike,9/1/2021 21:03,9/1/2021 21:16,Clark St & Lake St,Wabash Ave & 16th St,41.88602083,-87.63087606,41.860384,-87.625813,casual
824E85F39745A24E,classic_bike,9/1/2021 19:11,9/1/2021 19:17,Damen Ave & Thomas St (Augusta Blvd),Ashland Ave & Division St,41.901315,-87.677409,41.90345,-87.667747,casual
8250761B7DC300ED,classic_bike,9/1/2021 10:50,9/1/2021 11:08,DuSable Lake Shore Dr & Belmont Ave,Sheffield Ave & Webster Ave,41.940775,-87.639192,41.92154,-87.653818,member
8251C86C7A945878,classic_bike,9/1/2021 7:40,9/1/2021 8:28,Central Park Ave & North Ave,Central Park Ave & North Ave,41.90965688,-87.71663195,41.90965688,-87.71663195,member
8251E0D45082414D,classic_bike,9/1/2021 9:12,9/1/2021 9:17,Wells St & Hubbard St,Canal St & Madison St,41.889906,-87.634266,41.882091,-87.639833,member
8251E3D608E23C9C,classic_bike,9/1/2021 20:42,9/1/2021 21:09,Wells St & Polk St,Wentworth Ave & Cermak Rd,41.872596,-87.633502,41.85308456,-87.6319313,casual
825536CC261A1602,classic_bike,9/4/2021 16:31,9/4/2021 16:44,Michigan Ave & 14th St,Millennium Park,41.864059,-87.623727,41.8810317,-87.62408432,casual
825542287D207238,electric_bike,9/1/2021 16:34,9/1/2021 16:53,,,41.91,-87.74,41.9,-87.72,casual
825581AE99B27515,electric_bike,9/4/2021 19:10,9/4/2021 19:27,,,41.8,-87.58,41.81,-87.6,member
825A6F280715D763,classic_bike,9/4/2021 17:32,9/4/2021 18:13,LaSalle St & Adams St,DuSable Lake Shore Dr & North Blvd,41.87934437,-87.63198522,41.911722,-87.626804,casual
825B01DB32D7F924,classic_bike,9/4/2021 14:41,9/4/2021 15:05,Michigan Ave & Oak St,Theater on the Lake,41.90096039,-87.62377664,41.926277,-87.630834,casual
825F270276A31F78,classic_bike,9/1/2021 17:15,9/1/2021 17:18,Clark St & Leland Ave,Broadway & Wilson - Truman College Vaccination Site,41.967096,-87.667429,41.965221,-87.658139,member
8260F0049DEC21A9,classic_bike,9/1/2021 6:26,9/1/2021 6:32,Wells St & Elm St,Cherry Ave & Blackhawk St,41.903222,-87.634324,41.907221,-87.655618,member
82649CB133E90D2E,docked_bike,9/1/2021 8:43,9/1/2021 9:55,Theater on the Lake,Theater on the Lake,41.926277,-87.630834,41.926277,-87.630834,casual
8264CFB05CBC4631,classic_bike,9/1/2021 19:05,9/1/2021 19:22,Paulina Ave & North Ave,Wells St & Elm St,41.90985465,-87.66993016,41.903222,-87.634324,member
826579DE5FAA7771,classic_bike,9/1/2021 18:47,9/1/2021 18:55,Broadway & Wilson - Truman College Vaccination Site,Clark St & Berwyn Ave,41.965221,-87.658139,41.97799665,-87.6680471,casual
8266EB0198DACE9F,classic_bike,9/4/2021 11:40,9/4/2021 12:22,Kedzie Ave & Palmer Ct,Canal St & Harrison St,41.921525,-87.707322,41.874255,-87.639573,casual
8266F9B2ED398315,classic_bike,9/4/2021 19:36,9/4/2021 19:39,Indiana Ave & 40th St,MLK Jr Dr & Pershing Rd,41.82168,-87.6216,41.8246,-87.61678,casual
8266FC737FAA37F3,electric_bike,9/1/2021 8:02,9/1/2021 8:06,Smith Park,Western Ave & Division St,41.89203833,-87.6894055,41.90289567,-87.68761483,member
826BC4E0E8D5C4D7,classic_bike,9/1/2021 18:04,9/1/2021 18:14,Theater on the Lake,Burling St & Diversey Pkwy,41.926277,-87.630834,41.93314,-87.64776,casual
826BDDD8E5341C8A,classic_bike,9/1/2021 20:55,9/1/2021 21:22,Broadway & Thorndale Ave,Broadway & Barry Ave,41.98974251,-87.66014062,41.93758232,-87.64409781,member
826BFE5A561EBD3E,electric_bike,9/4/2021 7:31,9/4/2021 9:45,Indiana Ave & Roosevelt Rd,Adler Planetarium,41.86787,-87.62299583,41.86613367,-87.6073735,casual
826C624635AE9AE3,classic_bike,9/4/2021 15:44,9/4/2021 15:50,Dayton St & North Ave,Wells St & Elm St,41.91057803,-87.64942193,41.903222,-87.634324,member
826CD40F9321C981,classic_bike,9/1/2021 20:20,9/1/2021 20:42,Montrose Harbor,Montrose Harbor,41.963982,-87.638181,41.963982,-87.638181,casual
826E08CF53E1A2AE,electric_bike,9/4/2021 23:32,9/5/2021 0:04,Michigan Ave & Madison St,Michigan Ave & Madison St,41.882052,-87.6249755,41.88211617,-87.62539883,casual
826EA14D80AF52A3,electric_bike,9/1/2021 15:41,9/1/2021 15:49,Daley Center Plaza,Wells St & Walton St,41.8838975,-87.62974183,41.89984,-87.6344315,casual
826F33B5F7D48981,classic_bike,9/1/2021 8:54,9/1/2021 9:01,St. Clair St & Erie St,Wabash Ave & Wacker Pl,41.89434514,-87.62279838,41.886875,-87.62603,member
82715BFAF01818E7,classic_bike,9/4/2021 15:24,9/4/2021 15:27,Emerald Ave & 31st St,Shields Ave & 31st St,41.838198,-87.645143,41.838464,-87.635406,member
82717EC8EE835E4F,classic_bike,9/4/2021 18:51,9/4/2021 19:00,Delano Ct & Roosevelt Rd,Morgan St & 18th St,41.867491,-87.63219,41.858086,-87.651073,casual
8271F02D3F079166,classic_bike,9/1/2021 17:44,9/1/2021 17:51,Kedzie Ave & Milwaukee Ave,Spaulding Ave & Armitage Ave,41.929567,-87.707857,41.91710803,-87.71022096,member
827354C32D3A78A2,classic_bike,9/1/2021 19:22,9/1/2021 19:28,Bissell St & Armitage Ave,Sedgwick St & Webster Ave,41.91844,-87.65222,41.922167,-87.638888,casual
8274806DA199E78B,classic_bike,9/1/2021 20:45,9/1/2021 20:57,Peoria St & Jackson Blvd,Wells St & Polk St,41.8776416,-87.64961779,41.872596,-87.633502,casual
82750F3C1F201D1A,classic_bike,9/4/2021 15:07,9/4/2021 15:49,Clark St & Leland Ave,Damen Ave & Chicago Ave,41.967096,-87.667429,41.895769,-87.67722,member
8279B4F8CD120B8D,docked_bike,9/1/2021 21:25,9/2/2021 0:25,Michigan Ave & Oak St,Michigan Ave & Oak St,41.90096,-87.623777,41.90096,-87.623777,casual
827A3880E058A2AF,classic_bike,9/1/2021 7:20,9/1/2021 7:35,Ritchie Ct & Banks St,Franklin St & Monroe St,41.906866,-87.626217,41.880317,-87.635185,member
827AF657ED8B4C51,electric_bike,9/4/2021 2:34,9/4/2021 2:49,Broadway & Waveland Ave,,41.9490945,-87.6485305,41.93,-87.64,member
827B0BAC2559887E,electric_bike,9/4/2021 10:52,9/4/2021 11:01,Wells St & Polk St,Michigan Ave & 18th St,41.872415,-87.63359917,41.85790783,-87.62451133,member
827E674A23C1674E,electric_bike,9/4/2021 19:46,9/4/2021 20:11,Broadway & Belmont Ave,Michigan Ave & 14th St,41.94009683,-87.645459,41.86419683,-87.623476,member
827FF77E80737FED,classic_bike,9/4/2021 19:23,9/4/2021 19:26,Sheridan Rd & Irving Park Rd,Clark St & Newport St,41.954245,-87.654406,41.94454,-87.654678,casual
8282A7105385D60B,classic_bike,9/1/2021 5:55,9/1/2021 6:01,Daley Center Plaza,St. Clair St & Erie St,41.884241,-87.629634,41.89434514,-87.62279838,casual
